Analysis group,Analysis number,Analysis name,Subgroup,Applicability,Study,Study year,GIV Mean,GIV SE,Experimental mean,Experimental SD,Experimental cases,Experimental N,Control mean,Control SD,Control cases,Control N,O-E,Variance,Weight,Mean,CI start,CI end,Footnotes
1,1,Activity limitation (using OMAS; at the end of treatment),,SUBGROUP_AND_OVERALL,Bretherton 2024,,0.0,0.0,47.0,21.3,0,236,39.1,22.2,0,234,0.0,0.0,26.103119,7.9,3.966098,11.833902,OMAS; ITT data
1,1,Activity limitation (using OMAS; at the end of treatment),,SUBGROUP_AND_OVERALL,Dehghan 2016,2016,0.0,0.0,45.0,22.0,0,56,30.0,17.0,0,54,0.0,0.0,17.575474,15.0,7.667872,22.332128,OMAS
1,1,Activity limitation (using OMAS; at the end of treatment),,SUBGROUP_AND_OVERALL,Park 2021,2021,0.0,1.5233964822413313,47.0,12.5,0,95,43.3,7.8,0,99,0.0,2.320736842105263,28.563514,3.7,0.753996,6.646004,OMAS; ITT data
1,1,Activity limitation (using OMAS; at the end of treatment),,SUBGROUP_AND_OVERALL,Schubert 2020,2020,0.0,0.0,36.0,19.0,0,24,27.0,13.0,0,24,0.0,0.0,13.892057,9.0,-0.210441,18.210441,OMAS
1,1,Activity limitation (using OMAS; at the end of treatment),,SUBGROUP_AND_OVERALL,Smeeing 2020,2020,0.0,0.0,61.2,19.0,0,42,45.8,22.4,0,37,0.0,0.0,13.865836,15.4,6.174352,24.625648,Unprotected WB vs unprotected non-WB; OMAS
1,2,"Activity limitation (using OMAS; short-term follow-up,  ≤ 6 months)",,SUBGROUP_AND_OVERALL,Bretherton 2024,,0.0,0.0,65.9,22.1,0,243,61.2,22.9,0,237,0.0,0.0,30.33634,4.7,0.672468,8.727532,OMAS; ITT data; 4 months
1,2,"Activity limitation (using OMAS; short-term follow-up,  ≤ 6 months)",,SUBGROUP_AND_OVERALL,Dehghan 2016,2016,0.0,0.0,77.0,18.0,0,46,73.0,20.0,0,46,0.0,0.0,8.138873,4.0,-3.775681,11.775681,OMAS; 6 months
1,2,"Activity limitation (using OMAS; short-term follow-up,  ≤ 6 months)",,SUBGROUP_AND_OVERALL,Park 2021,2021,0.0,1.6562393109000766,72.8,11.0,0,95,70.1,11.5,0,99,0.0,2.7431286549707603,49.088591,2.7,-0.466141,5.866141,OMAS; ITT data; 12 weeks
1,2,"Activity limitation (using OMAS; short-term follow-up,  ≤ 6 months)",,SUBGROUP_AND_OVERALL,Schubert 2020,2020,0.0,0.0,84.0,16.0,0,24,81.0,17.0,0,21,0.0,0.0,5.24381,3.0,-6.687175,12.687175,OMAS; 26 weeks
1,2,"Activity limitation (using OMAS; short-term follow-up,  ≤ 6 months)",,SUBGROUP_AND_OVERALL,Smeeing 2020,2020,0.0,0.0,85.5,19.5,0,42,80.9,18.0,0,37,0.0,0.0,7.192387,4.6,-3.671496,12.871496,OMAS; 6 months; unprotected weight-bearing vs unprotected non-weight-bearing
1,3,"Activity limitation (using different measurement tools; long-term follow-up, > 6 months)",,SUBGROUP_AND_OVERALL,Bretherton 2024,,0.0,0.0,76.5,21.3,0,230,72.5,23.5,0,231,0.0,0.0,40.922818,0.178046,-0.004888,0.36098,OMAS; ITT data; 12 months
1,3,"Activity limitation (using different measurement tools; long-term follow-up, > 6 months)",,SUBGROUP_AND_OVERALL,Dehghan 2016,2016,0.0,0.0,89.0,16.0,0,50,85.0,15.0,0,52,0.0,0.0,15.79095,0.256156,-0.133701,0.646013,OMAS; 12 months
1,3,"Activity limitation (using different measurement tools; long-term follow-up, > 6 months)",,SUBGROUP_AND_OVERALL,Finsen 1989,1989,0.0,0.0,3.6,0.6,0,14,3.9,0.4,0,15,0.0,0.0,5.1055,-0.57597,-1.321566,0.169626,Activity limitation questionnaire; 52 weeks; group allocation for dropouts not reported; assumed to be 5 versus 4 in this analysis
1,3,"Activity limitation (using different measurement tools; long-term follow-up, > 6 months)",,SUBGROUP_AND_OVERALL,Park 2021,2021,0.0,0.14725669771939232,88.5,12.2,0,95,86.9,12.2,0,99,0.0,0.021684535023220486,25.308326,0.130635,-0.151166,0.412435,OMAS; ITT data; 12 months
1,3,"Activity limitation (using different measurement tools; long-term follow-up, > 6 months)",,SUBGROUP_AND_OVERALL,Smeeing 2020,2020,0.0,0.0,86.8,16.0,0,42,88.7,11.4,0,37,0.0,0.0,12.872405,-0.134022,-0.576454,0.30841,Unprotected weight-bearing vs unprotected non-weight-bearing; OMAS; 12 months
1,4,HRQoL (using different measurement tools; at end of treatment),,SUBGROUP_AND_OVERALL,Bretherton 2024,,0.0,0.0,0.63,0.19,0,235,0.55,0.25,0,234,0.0,0.0,70.929164,0.359826,0.177349,0.542303,EQ-5D-5L (utility score)
1,4,HRQoL (using different measurement tools; at end of treatment),,SUBGROUP_AND_OVERALL,Dehghan 2016,2016,0.0,0.0,50.5,17.3,0,52,42.0,14.7,0,52,0.0,0.0,15.43135,0.525602,0.134384,0.91682,SF-36 (PCS)
1,4,HRQoL (using different measurement tools; at end of treatment),,SUBGROUP_AND_OVERALL,Honigmann 2007,2007,0.0,0.0,39.0,10.37,0,22,38.0,11.11,0,22,0.0,0.0,6.755229,0.091383,-0.499907,0.682673,SF-12 (PCS); SD imputed from interquartile range obtained from graph (w/b and exercise group 14; no w/b and exercise group 15)
1,4,HRQoL (using different measurement tools; at end of treatment),,SUBGROUP_AND_OVERALL,Schubert 2020,2020,0.0,0.0,77.2,14.3,0,24,66.2,15.5,0,24,0.0,0.0,6.884257,0.725564,0.139842,1.311287,EQ-5D (reported on 100 point VAS)
1,5,"HRQoL (using different measurement tools; short-term follow-up, ≤ 6 months)",,SUBGROUP_AND_OVERALL,Bretherton 2024,,0.0,0.0,0.71,0.2,0,243,0.69,0.2,0,236,0.0,0.0,60.815099,0.099843,-0.079395,0.27908,EQ-5D-5L (utility score); 4 months
1,5,"HRQoL (using different measurement tools; short-term follow-up, ≤ 6 months)",,SUBGROUP_AND_OVERALL,Dehghan 2016,2016,0.0,0.0,78.8,15.6,0,47,72.4,18.1,0,46,0.0,0.0,13.84347,0.375956,-0.034278,0.786189,SF-36; 6 months
1,5,"HRQoL (using different measurement tools; short-term follow-up, ≤ 6 months)",,SUBGROUP_AND_OVERALL,Honigmann 2007,2007,0.0,0.0,48.0,4.44,0,21,49.0,7.41,0,22,0.0,0.0,6.653649,-0.159783,-0.758777,0.439211,SF-12 (PCS); 10 weeks; SD imputed from interquartile range obtained from graph (w/b and exercise group 6; no w/b and exercise group 10)
1,5,"HRQoL (using different measurement tools; short-term follow-up, ≤ 6 months)",,SUBGROUP_AND_OVERALL,Schubert 2020,2020,0.0,0.0,83.0,10.6,0,24,76.3,13.8,0,21,0.0,0.0,6.693315,0.539843,-0.057334,1.137019,EQ-5D (using 100 point VAS); 26 weeks
1,5,"HRQoL (using different measurement tools; short-term follow-up, ≤ 6 months)",,SUBGROUP_AND_OVERALL,Smeeing 2020,2020,0.0,0.0,76.8,21.9,0,42,74.9,22.8,0,37,0.0,0.0,11.994468,0.084274,-0.357844,0.526392,SF-36; 12 weeks; unprotected weight-bearing vs unprotected non-weight-bearing
1,6,"HRQoL (using different measurement tools; long-term follow-up, > 6 months)",,SUBGROUP_AND_OVERALL,Bretherton 2024,,0.0,0.0,0.77,0.2,0,230,0.74,0.21,0,232,0.0,0.0,44.816235,0.146044,-0.036574,0.328662,EQ-5D-5L (utility score); 12 months
1,6,"HRQoL (using different measurement tools; long-term follow-up, > 6 months)",,SUBGROUP_AND_OVERALL,Dehghan 2016,2016,0.0,0.0,85.3,12.8,0,49,79.1,16.8,0,51,0.0,0.0,29.089687,0.410849,0.014497,0.807201,SF-36 (PCS); 12 months
