Analysis group,Analysis number,Analysis name,Analysis group name,Data source,Data source eligibility,Data type,Log-scale data,Outcome,Intervention grouping,Experimental intervention,Control intervention,Subgroup by,Filter criteria,Experimental group label,Control group label,Statistical method,Effect measure,Unit of effect measure,Analysis model,Heterogeneity estimator,Subgroup estimates,Overall estimates,Test for subgroup differences,Swap event and non-event,Study CI,Estimate CI,Experimental cases,Experimental N,Control cases,Control N,Mean,CI start,CI end,Heterogeneity Tau²,Heterogeneity Chi²,Heterogeneity df,Heterogeneity P,Heterogeneity I²,Effect Z,Effect P,Subgroup Chi²,Subgroup df,Subgroup P,Subgroup I²,ID
1,1,Activity limitation (using OMAS; at the end of treatment),Early versus delayed weight-bearing,Custom input,"#N/A",Continuous,false,,,,,,,,,IV,Mean Difference,,Random effect,DL,true,true,true,false,95%,95%,,453,,448,9.140941,4.602604,13.679279,16.511645,12.915106,4,0.011698,69.028517,3.947683,7.9E-5,,,,,analysis:437077803694649559
1,2,"Activity limitation (using OMAS; short-term follow-up,  ≤ 6 months)",Early versus delayed weight-bearing,Custom input,"#N/A",Continuous,false,,,,,,,,,IV,Mean Difference,,Random effect,DL,true,true,true,false,95%,95%,,450,,440,3.564919,1.346617,5.78322,0.0,0.67704,4,0.95413,0.0,3.149758,0.001634,,,,,analysis:437258923957538616
1,3,"Activity limitation (using different measurement tools; long-term follow-up, > 6 months)",Early versus delayed weight-bearing,Custom input,"#N/A",Continuous,false,,,,,,,,,IV,Std. Mean Difference,,Random effect,DL,true,true,true,false,95%,95%,,431,,434,0.099714,-0.074859,0.274287,0.010675,5.471064,4,0.242285,26.888075,1.119511,0.262922,,,,,analysis:437258923957800770
1,4,HRQoL (using different measurement tools; at end of treatment),Early versus delayed weight-bearing,Custom input,"#N/A",Continuous,false,,,,,,,,,IV,Std. Mean Difference,,Random effect,DL,true,true,true,false,95%,95%,,333,,332,0.392452,0.238771,0.546133,0.0,2.806202,3,0.42248,0.0,5.005115,1.0E-6,,,,,analysis:437123136215335840
1,5,"HRQoL (using different measurement tools; short-term follow-up, ≤ 6 months)",Early versus delayed weight-bearing,Custom input,"#N/A",Continuous,false,,,,,,,,,IV,Std. Mean Difference,,Random effect,DL,true,true,true,false,95%,95%,,377,,362,0.148375,-0.007848,0.304597,0.002084,4.207175,4,0.378693,4.924334,1.861508,0.062673,,,,,analysis:437258923959111502
1,6,"HRQoL (using different measurement tools; long-term follow-up, > 6 months)",Early versus delayed weight-bearing,Custom input,"#N/A",Continuous,false,,,,,,,,,IV,Std. Mean Difference,,Random effect,DL,true,true,true,false,95%,95%,,321,,320,0.106878,-0.213406,0.427162,0.050904,5.540085,2,0.062659,63.89947,0.654035,0.513089,,,,,analysis:437123136215860139
1,7,"Participant satisfaction (VAS, /10; end of treatment, and short-term follow-up of ≤ 6 months)",Early versus delayed weight-bearing,Custom input,"#N/A",Continuous,false,,,,,,,,,IV,Mean Difference,,Fixed effect,"#N/A",false,false,false,false,95%,95%,,,,,,,,,,,,,,,,,,,analysis:437123136216122288
1,8,Pain (VAS; end of treatment),Early versus delayed weight-bearing,Custom input,"#N/A",Continuous,false,,,,,,,,,IV,Mean Difference,,Random effect,DL,true,true,true,false,95%,95%,,46,,46,0.155273,-0.280762,0.591308,0.0,0.767771,1,0.380908,0.0,0.697948,0.48521,,,,,analysis:437123136216384443
1,9,"Pain (VAS; short-term follow-up, ≤ 6 months)",Early versus delayed weight-bearing,Custom input,"#N/A",Continuous,false,,,,,,,,,IV,Mean Difference,,Fixed effect,"#N/A",false,false,false,false,95%,95%,,,,,,,,,,,,,,,,,,,analysis:445636486335161663
1,10,Adverse events,Early versus delayed weight-bearing,Custom input,"#N/A",Dichotomous,true,,,,,,,,,MH,Risk Ratio,,Random effect,DL,true,false,true,false,95%,95%,,,,,,,,,,,,,,,,,,,analysis:437103784574995005
