Study,Domain (judgement): Random sequence generation (selection bias),Domain (support): Random sequence generation (selection bias),Domain (judgement): Allocation concealment (selection bias),Domain (support): Allocation concealment (selection bias),Domain (judgement): Blinding of participants and personnel (performance bias): All outcomes,Domain (support): Blinding of participants and personnel (performance bias): All outcomes,Domain (judgement): Blinding of outcome assessment (detection bias): Participant-assessed outcomes,Domain (support): Blinding of outcome assessment (detection bias): Participant-assessed outcomes,Domain (judgement): Blinding of outcome assessment (detection bias): Personnel-assessed outcomes,Domain (support): Blinding of outcome assessment (detection bias): Personnel-assessed outcomes,Domain (judgement): Incomplete outcome data (attrition bias): All outcomes,Domain (support): Incomplete outcome data (attrition bias): All outcomes,Domain (judgement): Selective reporting (reporting bias),Domain (support): Selective reporting (reporting bias),Domain (judgement): Other bias,Domain (support): Other bias
Ahl 1986,Unclear risk,<p>Quote: &quot;each patient was randomly allocated.&quot;</p><p>Comment: method of randomisation not described. No baseline data reported to allow assessment of study group comparability owing to effective randomisation</p>,Unclear risk,"<p>Quote: ""by instruction in a sealed envelope.""</p><p>Comment: insufficient information provided</p>",High risk,<p>Participant and therapist blinding not possible</p>,High risk,<p>Participant and therapist blinding not possible</p>,Unclear risk,<p> Insufficient information on whether assessor blinding was implemented</p>,Low risk,"<p>Quote: ""Forty-six patients were included in this study. Two patients were lost to follow-up.""</p><p>Comment: lost participants were in the early weight-bearing group. Because losses were few, we did not expect that this attrition would influence the data.</p>",High risk,"<p>Study protocol or clinical trials registration was not reported and we could not use these documents to effectively assess risk of selective reporting bias. We noted from the Methods section of the report that activity limitation questionnaire was measured, but not reported.</p>",Low risk,<p>We identified no other sources of bias.</p>
Ahl 1987,Unclear risk,<p>Quote: &quot;all the fractures were randomly allocated.&quot;</p><p>Comment: method of randomisation not described. No baseline data reported to allow assessment of study group comparability owing to effective randomisation</p>,Unclear risk,<p>Method of allocation not described</p>,High risk,<p>Participant and therapist blinding not possible</p>,High risk,<p>Participant blinding not possible</p>,Unclear risk,<p> Insufficient information on whether assessor blinding was implemented.</p>,Low risk,"<p>Quote: ""of 53 patients included in this study, 2 patients were lost to follow-up.""</p><p>Comment: both lost participants were from the late weight-bearing group. Reasons for losses were death in one participant and withdrawal from the study by the other participant. We did not expect this small number of losses to impact the outcome data.</p>",High risk,"<p>Study protocol or clinical trials registration was not reported, and we could not use these documents to effectively assess risk of selective reporting bias. We noted from the Methods section of the report that activity limitation questionnaire was measured, but not reported.</p>",Low risk,<p>We identified no other sources of bias.</p>
Ahl 1988,Unclear risk,<p>Quote: &quot;the patients were randomly allocated.&quot;</p><p>Comment: method of randomisation not described. No baseline data reported to allow assessment of study group comparability owing to effective randomisation</p>,Unclear risk,<p>Method of allocation not described</p>,High risk,<p>Participant and therapist blinding not possible</p>,High risk,<p>Participant blinding not possible</p>,Unclear risk,<p> Insufficient information provided</p>,High risk,"<p>Overall loss at 6 months of 16%. Losses are reasonably balanced between groups, but reasons for losses were not reported.</p>",High risk,"<p>Study protocol or clinical trials registration was not reported, and we could not use these documents to effectively assess risk of selective reporting bias. We noted from the Methods section of the report that activity limitation questionnaire was measured, but not reported.</p>",Low risk,<p>We identified no other sources of bias.</p>
Ahl 1993,Unclear risk,<p>Quote: &quot;the patients were randomly allocated.&quot;</p><p>Comment: method of randomisation not described. No baseline data reported to allow assessment of study group comparability owing to effective randomisation</p>,Unclear risk,<p>Method of allocation not described</p>,High risk,<p>Participant and therapist blinding not possible</p>,High risk,<p>Participant and therapist blinding not possible</p>,High risk,<p>Insufficient information on whether assessor blinding was implemented. We assumed therefore that no attempts were made to blind outcome assessors.</p>,Low risk,"<p>Some participants were excluded after randomisation, and it was not clear to which group these participants belonged. Because loss was &lt; 10%, we did not expect this to impact on the results.</p>",Unclear risk,"<p>Study protocol or clinical trials registration was not reported, and we could not use these documents to effectively assess risk of selective reporting bias. </p>",Low risk,<p>We identified no other sources of bias.</p>
Bretherton 2024,Low risk,<p>Quote (from protocol): &quot;randomly allocated to one of two intervention groups (1:1) using a secure (encrypted) remote computer randomisation service administered by the Oxford Clinical Trials Research Unit&quot;</p>,Low risk,<p>Quote (from protocol): &quot;randomly allocated to one of two intervention groups (1:1) using a secure (encrypted) remote computer randomisation service administered by the Oxford Clinical Trials Research Unit&quot;</p>,High risk,<p>Not possible to blind participants and personnel to treatments</p>,High risk,<p>Participants aware of group allocation</p>,Not applicable,,High risk,"<p>Although reasonably balanced between groups, losses at end of follow-up were approximately 15%. </p>",Low risk,<p>Prospective clinical trials registration (ISRCTN12883981). Reported outcomes are consistent with those listed in the clinical trials register</p>,Low risk,<p>We identified no other sources of bias.</p>
Brink 1996,Low risk,<p>Quote: &quot;randomized by random number table.&quot; </p><p>Comment: we noted that there was a higher proportion of females</p>,Low risk,"<p>Additional information obtained from author: by consecutively numbered, opaque envelopes.</p>",High risk,<p>Participant and therapist blinding not possible</p>,High risk,<p>Participant blinding not possible</p>,Unclear risk,<p>Insufficient information on whether assessor blinding was implemented</p>,Unclear risk,<p>Only participants without fracture union were examined at 6 weeks. We could not be certain of the impact on data for this time point.</p>,Unclear risk,"<p>Study protocol or clinical trials registration was not reported, and we could not use these documents to effectively assess risk of selective reporting bias. </p>",Low risk,<p>We identified no other sources of bias.</p>
Christie 1990,Not applicable,,Not applicable,,Not applicable,,Not applicable,,Not applicable,,Not applicable,,Not applicable,,Not applicable,
Davies 1991,High risk,"<p>Quote: ""subject selection depended on which consultant was responsible for the care of the patient.""</p><p>Comment: quasi-random procedure</p>",High risk,<p>Quasi-random procedure</p>,High risk,<p>Participant and therapist blinding not possible</p>,High risk,<p>Participants were not blinded</p>,High risk,<p>The assessor was aware of the study-group allocation of the participants.</p>,High risk,"<p>Whilst losses were balanced between groups, the reasons for loss were not reported and the overall number of losses was high.</p>",Unclear risk,"<p>Study protocol or clinical trials registration was not reported, and we could not use these documents to effectively assess risk of selective reporting bias. </p>",Low risk,<p>We identified no other sources of bias.</p>
Dehghan 2016,Unclear risk,<p>Not reported</p>,Low risk,"<p>Quote: &quot;use of concealed sequentially numbered, opaque, sealed envelopes&quot; and &quot;Allocation was concealed from patients and investigators until the randomization was completed&quot;</p>",High risk,<p>Not possible to blind participants or personnel to treatments</p>,High risk,<p>Participants aware of treatment allocation</p>,Unclear risk,<p>Study authors do not report whether outcome assessors were blinded.</p>,Unclear risk,"<p>Losses are reported, and reasonably balanced between groups, but reasons for losses are not reported, and it is not clear why some participants were re-included at 12 months.</p>",Unclear risk,<p>Clinical trials registration or protocol not reported. It is not feasible to effectively assess risk of selective reporting bias without these documents.</p>,Low risk,<p>We identified no other sources of bias.</p>
DiStasio 1994,High risk,<p>Additional information obtained from author: randomisation was performed by order of presentation.</p><p>Comment: quasi-random procedure</p>,High risk,<p>Quasi-random procedure</p>,High risk,<p>Participant and therapist blinding not possible</p>,High risk,<p>Participant blinding not possible</p>,Unclear risk,<p>Insufficient information on whether assessor blinding was implemented</p>,Low risk,<p>Few losses which are balanced between groups</p>,Unclear risk,<p>Clinical trials registration or protocol not reported. It is not feasible to effectively assess risk of selective reporting bias without these documents.</p>,Low risk,<p>We identified no other sources of bias.</p>
