Analysis group,Analysis number,Analysis name,Subgroup,Applicability,Study,Study year,GIV Mean,GIV SE,Experimental mean,Experimental SD,Experimental cases,Experimental N,Control mean,Control SD,Control cases,Control N,O-E,Variance,Weight,Mean,CI start,CI end,Footnotes
1,1,"Change in the number of decayed, missing or filled primary teeth (dmft)",Studies conducted in 1975 or earlier,SUBGROUP_AND_OVERALL,Adriasola 1959,1956,0.0,0.0,2.5,7.04,0,263,0.3,6.72,0,157,0.0,0.0,7.061695,2.2,0.847653,3.552347,
1,1,"Change in the number of decayed, missing or filled primary teeth (dmft)",Studies conducted in 1975 or earlier,SUBGROUP_AND_OVERALL,Beal 1981,1975,0.0,0.0,2.02,4.18,0,361,0.57,4.6,0,367,0.0,0.0,21.040763,1.45,0.811711,2.088289,
1,1,"Change in the number of decayed, missing or filled primary teeth (dmft)",Studies conducted in 1975 or earlier,SUBGROUP_AND_OVERALL,DHSS England 1969,1967,0.0,0.0,3.09,4.3,0,654,1.04,4.22,0,557,0.0,0.0,27.87185,2.05,1.568933,2.531067,
1,1,"Change in the number of decayed, missing or filled primary teeth (dmft)",Studies conducted in 1975 or earlier,SUBGROUP_AND_OVERALL,DHSS Scotland 1969,1969,0.0,0.0,3.49,4.92,0,258,0.59,5.64,0,223,0.0,0.0,12.393878,2.9,1.946911,3.853089,
1,1,"Change in the number of decayed, missing or filled primary teeth (dmft)",Studies conducted in 1975 or earlier,SUBGROUP_AND_OVERALL,DHSS Wales 1969,1965,0.0,0.0,2.87,4.68,0,1910,0.64,5.54,0,959,0.0,0.0,31.631815,2.23,1.821353,2.638647,
1,1,"Change in the number of decayed, missing or filled primary teeth (dmft)",Studies conducted after 1975,SUBGROUP_AND_OVERALL,Blinkhorn 2015,2015,0.0,0.0,1.3,3.49,0,813,0.88,3.77,0,568,0.0,0.0,39.252342,0.42,0.027986,0.812014,
1,1,"Change in the number of decayed, missing or filled primary teeth (dmft)",Studies conducted after 1975,SUBGROUP_AND_OVERALL,Goodwin 2022,2022,0.0,0.0,0.57,2.61,0,654,0.44,3.17,0,873,0.0,0.0,60.747658,0.13,-0.160226,0.420226,
1,2,"Change in the number of decayed, missing or filled permanent teeth (DMFT)",Studies conducted in 1975 or earlier,SUBGROUP_AND_OVERALL,Beal 1981,1975,0.0,0.18969975316844934,0.82,2.5,0,369,0.2,2.64,0,367,0.0,0.035985996352170604,33.025817,0.62,0.248493,0.991507,
1,2,"Change in the number of decayed, missing or filled permanent teeth (DMFT)",Studies conducted in 1975 or earlier,SUBGROUP_AND_OVERALL,DHSS England 1969,1967,0.0,0.0,1.62,3.92,0,939,0.65,4.39,0,725,0.0,0.0,31.713786,0.97,0.563824,1.376176,
1,2,"Change in the number of decayed, missing or filled permanent teeth (DMFT)",Studies conducted in 1975 or earlier,SUBGROUP_AND_OVERALL,DHSS Wales 1969,1965,0.0,0.0,0.66,3.72,0,1833,-0.73,4.95,0,1390,0.0,0.0,35.260396,1.39,1.079006,1.700994,
