Analysis group,Analysis number,Analysis name,Analysis group name,Data source,Data source eligibility,Data type,Log-scale data,Outcome,Intervention grouping,Experimental intervention,Control intervention,Subgroup by,Filter criteria,Experimental group label,Control group label,Statistical method,Effect measure,Unit of effect measure,Analysis model,Heterogeneity estimator,Subgroup estimates,Overall estimates,Test for subgroup differences,Swap event and non-event,CI method,CI level,Experimental cases,Experimental N,Control cases,Control N,Mean,CI start,CI end,PI start,PI end,Heterogeneity Tau²,Tau² CI start,Tau² CI end,Heterogeneity Chi²,Heterogeneity df,Heterogeneity P,Heterogeneity I²,Effect Z,Effect P,Subgroup Chi²,Subgroup df,Subgroup P,Subgroup I²,ID
1,1,"Change in the number of decayed, missing or filled primary teeth (dmft)",Initiation of water fluoridation compared with low/non-fluoridated water,Custom input,"#N/A",Continuous,false,,,,,,,,,IV,Mean Difference,,Random effect,DL,true,false,true,false,Wald,95%,,,,,,,,,,,,,,,,,,,,,,,analysis:396493788123214338
1,2,"Change in the number of decayed, missing or filled permanent teeth (DMFT)",Initiation of water fluoridation compared with low/non-fluoridated water,Custom input,"#N/A",Continuous,false,,,,,,,,,IV,Mean Difference,,Random effect,DL,true,false,true,false,Wald,95%,,,,,,,,,,,,,,,,,,,,,,,analysis:396493788159914511
1,3,"Change in the number of decayed, missing or filled permanent surfaces (DMFS) ",Initiation of water fluoridation compared with low/non-fluoridated water,Custom input,"#N/A",Continuous,false,,,,,,,,,IV,Mean Difference,,Random effect,DL,false,false,false,false,Wald,95%,,,,,,,,,,,,,,,,,,,,,,,analysis:443411655333473343
1,4,Change in the proportion of caries-free participants (primary teeth),Initiation of water fluoridation compared with low/non-fluoridated water,Custom input,"#N/A",Continuous,false,,,,,,,,,IV,Mean Difference,,Random effect,DL,true,false,true,false,Wald,95%,,,,,,,,,,,,,,,,,,,,,,,analysis:396493788193993245
1,5,Change in the proportion of caries-free participants (permanent teeth),Initiation of water fluoridation compared with low/non-fluoridated water,Custom input,"#N/A",Continuous,false,,,,,,,,,IV,Mean Difference,,Random effect,DL,true,false,true,false,Wald,95%,,,,,,,,,,,,,,,,,,,,,,,analysis:396493788229644843
1,6,"Sensitivity analysis - all included studies: change in the number of decayed, missing or filled primary teeth (dmft)",Initiation of water fluoridation compared with low/non-fluoridated water,Custom input,"#N/A",Continuous,false,,,,,,,,,IV,Mean Difference,,Random effect,DL,true,false,true,false,Wald,95%,,,,,,,,,,,,,,,,,,,,,,,analysis:440109223065900037
1,7,"Sensitivity analysis - all included studies: change in the number of decayed, missing or filled permanent teeth (DMFT)",Initiation of water fluoridation compared with low/non-fluoridated water,Custom input,"#N/A",Continuous,false,,,,,,,,,IV,Mean Difference,,Random effect,DL,true,false,true,false,Wald,95%,,,,,,,,,,,,,,,,,,,,,,,analysis:440112801836161495
1,8,Sensitivity analysis - all included studies: change in the proportion of caries-free participants (primary teeth),Initiation of water fluoridation compared with low/non-fluoridated water,Custom input,"#N/A",Continuous,false,,,,,,,,,IV,Mean Difference,,Random effect,DL,true,false,true,false,Wald,95%,,,,,,,,,,,,,,,,,,,,,,,analysis:440115586314527673
1,9,Sensitivity analysis - all included studies: change in the proportion of caries-free participants (permanent teeth),Initiation of water fluoridation compared with low/non-fluoridated water,Custom input,"#N/A",Continuous,false,,,,,,,,,IV,Mean Difference,,Random effect,DL,true,false,true,false,Wald,95%,,,,,,,,,,,,,,,,,,,,,,,analysis:440113050820008682
1,10,"Sensitivity analysis - change in analytical approach: change in the number of decayed, missing or filled primary teeth (dmft)",Initiation of water fluoridation compared with low/non-fluoridated water,Custom input,"#N/A",Continuous,false,,,,,,,,,IV,Mean Difference,,Random effect,DL,true,false,true,false,Wald,95%,,,,,,,,,,,,,,,,,,,,,,,analysis:443466524807687707
1,11,"Sensitivity analysis - excluding studies with imputed standard deviations: change in the number of decayed, missing or filled primary teeth (dmft)",Initiation of water fluoridation compared with low/non-fluoridated water,Custom input,"#N/A",Continuous,false,,,,,,,,,IV,Mean Difference,,Random effect,DL,true,false,true,false,Wald,95%,,,,,,,,,,,,,,,,,,,,,,,analysis:443466863591323488
1,12,"Sensitivity analysis - excluding studies with imputed standard deviations: change in the number of decayed, missing or filled permanent teeth (DMFT)",Initiation of water fluoridation compared with low/non-fluoridated water,Custom input,"#N/A",Continuous,false,,,,,,,,,IV,Mean Difference,,Random effect,DL,true,false,true,false,Wald,95%,,,,,,,,,,,,,,,,,,,,,,,analysis:443466921598548056
