Analysis group,Analysis number,Subgroup,Subgroup number,Experimental cases,Experimental N,Control cases,Control N,Weight,Mean,CI start,CI end,Heterogeneity Tau²,Tau² CI start,Tau² CI end,Heterogeneity Chi²,Heterogeneity df,Heterogeneity P,Heterogeneity I²,Effect Z,Effect P,ID
1,1,Studies conducted after 1975,1,,1467,,1441,100.0,0.243832,-0.03372,0.521383,0.011084,0.0,42.786789,1.357958,1,0.243892,26.36004,1.721848,0.085097,subgroup:396493788152574476
1,1,Studies conducted in 1975 or earlier,2,,3446,,2263,100.0,2.096633,1.707938,2.485328,0.080865,0.0,2.03882,7.138952,4,0.128725,43.969368,10.572109,0.0,subgroup:396493788127670788
1,2,Studies conducted after 1975,1,,1500,,1356,100.0,0.274307,-0.1112,0.659813,0.092986,0.087788,16.532196,17.874163,3,4.67E-4,83.215997,1.39461,0.163133,subgroup:396493788184556057
1,2,Studies conducted in 1975 or earlier,2,,3141,,2482,100.0,1.002503,0.538579,1.466428,0.133718,0.010184,5.84045,9.885631,2,0.007134,79.768616,4.235323,2.3E-5,subgroup:396493788164633105
1,4,Studies conducted after 1975,1,,1467,,1441,100.0,-0.038469,-0.086966,0.010027,0.0,0.0,0.202398,0.159507,1,0.689611,0.0,1.554723,0.120012,subgroup:396493788220207655
1,4,Studies conducted in 1975 or earlier,2,,3816,,2462,100.0,-0.165681,-0.198794,-0.132567,1.98E-4,0.0,0.013349,4.598812,4,0.330991,13.021022,9.806474,0.0,subgroup:396493788198711839
1,5,Studies conducted after 1975,1,,1280,,1068,100.0,-0.03,-0.069822,0.009822,0.0,,,0.0,1,1.0,0.0,1.476528,0.139802,subgroup:396493788251927092
1,5,Studies conducted in 1975 or earlier,2,,3497,,2722,100.0,-0.06249,-0.144316,0.019336,0.006262,0.001139,0.063951,40.336356,3,0.0,92.562541,1.49682,0.13444,subgroup:396493788234363437
1,6,Studies conducted after 1975,1,,3485,,3137,100.0,1.082814,-0.534953,2.700582,2.012847,0.507032,78.224385,135.340229,2,0.0,98.522243,1.311855,0.189569,subgroup:440109223066686470
1,6,Studies conducted in 1975 or earlier,2,,12285,,5235,100.0,1.914715,1.598332,2.231097,0.110323,0.009832,0.977131,18.765317,7,0.008955,62.69714,11.861513,0.0,subgroup:440109223067735050
1,7,Studies conducted after 1975,1,,5194,,7712,100.0,0.530746,5.37E-4,1.060955,0.362698,0.106933,4.422789,233.677904,5,0.0,97.860303,1.961949,0.049768,subgroup:440112801838520800
1,7,Studies conducted in 1975 or earlier,2,,21575,,8759,100.0,1.354879,0.769441,1.940317,0.512026,0.183,3.1695,183.362961,5,0.0,97.273168,4.535942,6.0E-6,subgroup:440112801836947928
1,8,Studies conducted after 1975,1,,6028,,3580,100.0,-0.099787,-0.187158,-0.012416,0.007036,0.002254,0.141676,30.936734,3,1.0E-6,90.30279,2.238482,0.02519,subgroup:440115586317149122
1,8,Studies conducted in 1975 or earlier,2,,8094,,4289,100.0,-0.170077,-0.187378,-0.152777,0.0,0.0,0.004227,5.620277,7,0.584719,0.0,19.268101,0.0,subgroup:440115586315576250
1,9,Studies conducted after 1975,1,,4937,,5565,100.0,-0.121558,-0.328521,0.085404,0.032674,0.006102,0.9593,117.399871,2,0.0,98.296421,1.151173,0.249661,subgroup:440113050822630130
1,9,Studies conducted in 1975 or earlier,2,,11284,,6175,100.0,-0.133007,-0.240392,-0.025622,0.01744,0.0052,0.085609,258.151536,5,0.0,98.063153,2.42762,0.015198,subgroup:440113050821057259
1,10,Studies conducted after 1975,1,,1422,,1403,100.0,0.276206,0.117458,0.434954,0.0,0.0,15.038149,0.618246,1,0.4317,0.0,3.410141,6.49E-4,subgroup:443466524810309154
1,11,Studies conducted after 1975,1,,1467,,1441,100.0,0.243832,-0.03372,0.521383,0.011084,0.0,42.786789,1.357958,1,0.243892,26.36004,1.721848,0.085097,subgroup:443466863593158503
1,11,Studies conducted in 1975 or earlier,2,,624,,524,100.0,1.586639,1.009415,2.163863,0.0,0.0,100.0,0.966267,1,0.325613,0.0,5.387429,0.0,subgroup:443466863591847777
1,12,Studies conducted after 1975,1,,714,,821,100.0,0.529451,-0.454325,1.513226,0.451603,0.043078,100.0,8.726676,1,0.003136,88.540883,1.054818,0.291509,subgroup:443466921600907357
1,12,Studies conducted in 1975 or earlier,2,,369,,367,100.0,0.62,0.248493,0.991507,0.0,,,0.0,0,1.0,0.0,3.270941,0.001072,subgroup:443466921599596633
