Study,Domain (judgement): Sampling,Domain (support): Sampling,Domain (judgement): Confounding,Domain (support): Confounding,Domain (judgement): Blinding of outcome assessment (detection bias): All outcomes,Domain (support): Blinding of outcome assessment (detection bias): All outcomes,Domain (judgement): Incomplete outcome data (attrition bias): All outcomes,Domain (support): Incomplete outcome data (attrition bias): All outcomes,Domain (judgement): Selective reporting (reporting bias),Domain (support): Selective reporting (reporting bias),Domain (judgement): Other bias,Domain (support): Other bias
Acharya 2005,Unclear risk,<p>5 villages were selected out of a possible 90. There was insufficient detail reported in order to determine how selection took place</p>,High risk,<p>Did not account for use of other fluoride sources </p>,High risk,<p>Insufficient information</p>,Low risk,<p>Data presented for all participants</p>,Low risk,<p>Outcome of interest reported</p>,Low risk,<p>No other apparent bias</p>
Adair 1999,Unclear risk,<p>Participants were children attending the sole elementary and middle/high schools in Warren county. There was insufficient detail reported in order to determine how selection took place</p>,High risk,<p>SES was not accounted for</p>,High risk,<p>Insufficient information</p>,Low risk,<p>Data for over 80% of participants were reported</p>,High risk,"<p>Outcome of interest reported. However, data were not presented clearly enough to be considered reliable</p>",High risk,<p>Exposure to fluoride water could not be controlled for. Some children had fluoride water at school across groups. Some had non-fluoridated well-water at home</p>
Adriasola 1959,Not applicable,,Not applicable,,Not applicable,,Not applicable,,Not applicable,,Not applicable,
Al-Alousi 1975,Unclear risk,<p>Children were selected from schools in Leeds in a quasi-random way whereby every nth child (n = total children in school/20) from the register was selected. Eligible children in Anglesey were selected from schools randomly</p>,High risk,<p>Did not account for use of other fluoride sources or SES </p>,High risk,"<p>A clinical investigation and double-blinded photographic examination were conducted. However, the results reported are those of the unblinded clinical investigation</p>",Low risk,<p>Data presented for all participants</p>,Unclear risk,<p>Outcome of interest reported </p>,High risk,<p>Diagnoses had to be 'agreed' on by the 2 examiners and there was no mention of any sort of calibration of the examiners. This may have resulted in measurement bias</p>
Alarcon-Herrera 2001,Low risk,"<p>Through a polystage conglomerate random sampling, 380 families were selected and prorated into 77 to 80 families per concentration area zone. The division yielded a total of 1437 individuals from the 5 different areas</p>",High risk,<p>Did not account for use of other fluoride sources or SES </p>,High risk,<p>Insufficient information</p>,Low risk,<p>Data presented for all participants</p>,Low risk,<p>Outcome of interest reported</p>,Unclear risk,<p>No information examiner calibration with regard to detection of the outcome variable</p>
Albrecht 2004,Unclear risk,<p>There was insufficient detail reported in order to determine how selection took place</p>,High risk,<p>Did not account for use of other fluoride sources or SES </p>,High risk,<p>Insufficient information</p>,Low risk,<p>Data presented for all participants</p>,Low risk,<p>Outcome of interest reported</p>,Low risk,<p>No other apparent bias</p>
AlDosari 2010,Unclear risk,"<p>A list of zones was considered as the sampling frame for the schools, and municipalities were randomly chosen from each zone to represent the urban area. Additionally, rural areas in the municipality with ≥ 1 school were surveyed. However, there was insufficient detail reported in order to determine how selection of schools and children within those schools took place</p>",High risk,<p>Did not account for use of other fluoride sources </p>,High risk,<p>Insufficient information</p>,High risk,"<p>Over 95% of the subjects sampled were examined. However, it is not clear why fluorosis was not scored in permanent teeth of the 6- to 7-year-olds</p>",High risk,<p>The study authors did not report or justify not presenting fluorosis data for the age group 15 to 18 years</p>,Unclear risk,"<p>Clinical examination was carried out by 2 dentists, but no information on whether the examiners were calibrated with regard to detection of the outcome variable was given</p>"
Angelillo 1999,Low risk,"<p>Schools were selected at random, as were classes with the schools. All eligible children within the selected class were recruited to the study</p>",High risk,"<p>There was a reported imbalance between groups in the use of fluoride supplements, toothbrushing behaviour and in SES</p>",High risk,<p>Insufficient information</p>,Low risk,<p>Data for the majority of participants presented</p>,Low risk,<p>Outcome of interest reported</p>,Unclear risk,"<p>The 2 examiners involved had previously been trained and calibrated, but details not presented</p>"
Arif 2013,Unclear risk,<p>Only villages where the mean fluoride concentration was &gt; 1.0 ppm were selected. There was insufficient detail reported in order to determine how selection took place.</p>,High risk,<p>Did not account for use of other fluoride sources or SES </p>,High risk,<p>Insufficient information</p>,Unclear risk,<p>Insufficient information to determine whether data presented for all participants as study details were poorly reported</p>,Low risk,"<p>Outcome of interest not reported in paper, but made available by study authors via email</p>",High risk,<p>Fluoride concentration for the different villages overlapped making the data impossible to interpret</p>
Arnold 1956,Not applicable,,Not applicable,,Not applicable,,Not applicable,,Not applicable,,Not applicable,
Ast 1951,Not applicable,,Not applicable,,Not applicable,,Not applicable,,Not applicable,,Not applicable,
Awadia 2000,Low risk,"<p>Schools in all villages (except in Arusha Meru) as well as participants were randomly selected. For schools where participants were not randomly selected, including the school in Arusha Meru, all the registered schoolchildren were chosen to participate</p>",High risk,<p>There was a reported imbalance between groups in terms of SES and use of fluoride from other sources</p>,High risk,<p>Insufficient information</p>,Low risk,<p>Data presented for all participants</p>,High risk,"<p>Outcome of interest not fully reported, rather presented as a median score</p>",High risk,<p>Only 1 examiner was involved; no testing for intra-rater reliability with regard to detection of the outcome variable.</p>
Azcurra 1995,Low risk,"<p>Stratified random selection was used. Following stratification by age, gender and SES, 100 school children were randomly selected from each village</p>",High risk,"<p>Although SES was considered during sampling, it was not controlled for within the analysis. No details were reported on the use of fluoride from other sources</p>",High risk,"<p>Blinding not stated, however the two calibrated operators, as study authors, were likely to have knowledge of the study areas</p>",Low risk,<p>Data presented for all participants</p>,Low risk,<p>Outcome of interest was fully reported on and balanced across both groups</p>,Low risk,<p>No other apparent biases</p>
Backer-Dirks 1961,Not applicable,,Not applicable,,Not applicable,,Not applicable,,Not applicable,,Not applicable,
Bao 2007,Low risk,"<p>Quote: &quot;Representative samples were selected by multi-stage, stratified and random sampling&quot; &quot;For each site, 66 12-year-old boys and 66 12-year-old girls were randomly chosen&quot;.</p>",High risk,"<p>3 groups were from cities and 3 groups were from rural areas. The study authors did not record/report or adjust for other confounding factors (e.g. other fluoride sources, diet, residential history)</p>",High risk,<p>Insufficient information</p>,Unclear risk,"<p>The study authors did not report any information on loss of follow-up or exclusion of participants. Judging by the number of people they chose randomly (792), and the number of people (792) with results of caries examination, there was no loss of follow-up or exclusion of participants.</p>",High risk,"<p>Quote: ""Dean’s Index was used to classify fluorosis.""</p><p>Comment: data not presented in a format that allowed for further evaluation. The study authors did not report the number of affected people for each Dean's Index category. They did not report the prevalence fluorosis (number of affected people/number of people examined)</p>",Low risk,<p>No other apparent bias</p>
Baskaradoss 2008,Low risk,"<p>A stratified cluster sampling method was used to select the samples. 2 schools from each block were selected at random from a list of higher secondary schools. After examining an entire class, only the first 20 were taken until sample size was achieved.</p>",High risk,<p>Participants had different oral hygiene habits and there was no mention of duration of residency.</p>,High risk,<p>Insufficient information</p>,Low risk,<p>Outcome data for all participants reported</p>,High risk,<p>Data not in suitable format for analysis</p>,Unclear risk,<p>No mention of calibration</p>
Beal 1971,Not applicable,,Not applicable,,Not applicable,,Not applicable,,Not applicable,,Not applicable,
Beal 1981,Not applicable,,Not applicable,,Not applicable,,Not applicable,,Not applicable,,Not applicable,
Beltran-Aguilar 2002,Low risk,"<p>The sampling frame was specified, and the sample represented 41 percent of all 12- to 14-year-olds and &gt; 4 million schoolchildren. There is no evidence that any eligible children were excluded</p>",High risk,"<p>The use of other fluoride sources was similar in those who consumed water with optimal and natural fluoride, but very different from those in the suboptimal fluoride group. Did not account for SES</p>",High risk,<p>Insufficient information</p>,Unclear risk,<p>Children with missing outcome data were excluded. It is not clear whether there was an imbalance across groups in excluded children</p>,Low risk,<p>Outcome of interest reported</p>,High risk,"<p>There is an overlap in fluoride concentration between the exposure groups (0.7 to 1.2 ppm and 0.7 to 4.0 ppm) which is likely to dilute the observable effect of exposure to intervention across groups. It is unclear whether the examiners were calibrated as the paper provides insufficient information, and we were unable to access associated reports which may have contained examination protocols.</p>"
Berndt 2010,Unclear risk,<p>Children selected from Ombili Primary School and divided into groups according to place of birth and ethnicity</p>,High risk,<p>Imbalance in oral health behaviour and duration of residency between ethnic groups</p>,High risk,<p>Insufficient information</p>,Low risk,<p>All participants accounted for in analysis</p>,Low risk,<p>Outcome data fully reported</p>,Low risk,<p>No other apparent bias</p>
Birkeland 2005,Unclear risk,"<p>The schools were selected from an unspecified sampling frame and insufficient detail was reported to determine how selection of schools took place. However, children were selected at random from the schools.</p>",High risk,<p>No details were reported on the use of fluoride from other sources.</p>,High risk,<p>Insufficient information</p>,Low risk,<p>Data presented for all participants</p>,Low risk,<p>Outcome of interest reported</p>,High risk,"<p>There is inconsistency in the number of water samples tested (Triet el Biga = 6, Abu Delaig = 11, Abu Groon = 8) and an overlap in range of fluoride concentrations between the 3 study areas. Also, examinations were done by a dental assistant and it is not clear whether reliability testing was carried out.</p>"
Blinkhorn 2015,Not applicable,,Not applicable,,Not applicable,,Not applicable,,Not applicable,,Not applicable,
