Study,Year,Data source,ID: CRS,Char: Methods,Char: Participants,Char: Interventions,Char: Outcomes,Char: Funding,Char: ROBINS-I comments for studies evaluating initiation or cessation of CWF for prevention of dental caries,Char: Notes
Acharya 2005,2005,PUB,24007034,"<p><b>FLUOROSIS STUDY</b><br/>Country of study: India<br/>Geographic location: Davangere-Nallur, Naganur, Doddabathi, Kundawada and Holesirigere<br/>Year of study: not stated<br/>Year of change in fluoridation status: NA<br/>Study design: cross-sectional</p>",<p>Inclusion criteria: school children aged 12 to 15 years; lifetime residency</p><p>Exclusion criteria: absence on the day of the survey</p><p>Other sources of fluoride: not stated</p><p>SES: socioeconomic position was similar in all villages</p><p>Ethnicity: not stated</p><p>Residential history: lifetime residents</p><p>Other confounding factors: not stated</p>,<p>All natural fluoridation</p><p>Group 1: 0.43 ppm</p><p>Group 2: 0.72 ppm</p><p>Group 3: 1.1 ppm</p><p>Group 4: 1.22 ppm</p><p>Group 5: 3.41 ppm</p>,<p>Dental fluorosis (Dean's Index)<br />Age at assessment: 12 to 15 years</p>,<p>Not stated</p>,,
Adair 1999,1999,PUB,24007036,"<p><b>FLUOROSIS STUDY</b><br/>Country of study: USA<br/>Geographic location: Warren County, Georgia<br/>Year of study: not stated<br/>Year of change in fluoridation status: not stated<br/>Study design: cross-sectional</p>","<p>Inclusion criteria: children attending sole elementary and middle schools in study area</p><p>Exclusion criteria: children whose homes were served with well-water</p><p>Other sources of fluoride: parents completed questionnaire regarding dentifrice use, home water source and current use of systemic fluoride supplements; all children received school water fluoridated at 0.5 ppm</p><p>Other sources of fluoride: not stated</p><p>SES: not stated</p><p>Ethnicity: not stated</p><p>Residential history: not considered</p><p>Other confounding factors: not stated</p>",<p>Group 1: 0.5 to 1.2 ppm (both natural and artifical fluoridation)<br />Group 2: &lt; 0.1 ppm (natural fluoridation)</p>,"<p>Dental fluorosis (Dean's Index); caries data collected but not presented in this review due to study design<br />Age at assessment: 8 to 10 years, and 11 to13 years</p>",<p>NIDR Grant DE-06113</p>,,
Adriasola 1959,1956,PUB,24007038,<p><b>CARIES STUDY</b><br />Country of study: Chile<br />Geographic location: Group 1: Curico (F); Group 2: San Fernando (non-F). Total population sizes in each location not stated<br />Year study started: 1953<br />Year study ended: 1956<br />Year of change in fluoridation status: 1953<br />Study design: CBA. A different sample of children was assessed at baseline and at end of study</p>,"<p>Inclusion criteria: children aged 3 to 15 years; children from 2 primary schools in the study areas</p><p>Exclusion criteria: none stated</p><p>Sample size at baseline: Group 1: 1279 children; Group 2: 748 children</p><p>Sample size at final assessment: Group 1: 3060 children; Group 2: 1680 children</p><p>SES: based on author's knowledge of the demographics, culture and social economy of the intervention and control areas, it was assumed that the study areas were comparable</p><p>Co-interventions: not stated</p><p>Ethnicity: not stated</p><p>Gender: distribution was similar across groups </p><p>Residential history: not stated</p>",<p><b>Initiation of water fluoridation</b><br />Group 1: 1 ppm (artificial fluoridation)<br />Group 2: ppm not stated (natural fluoridation)</p>,"<p>% caries-free participants<br />Age at baseline assessment: 3 to 8 years and 11, 12 and 15 years <br />Age at final assessment: 3 to 8 years, and 11, 12 and 15 years </p>",<p>In collaboration with members of the committee Pro-Fluoridation</p>,"<p>See <a type=""TABLE"" href=""432800047565131527"">Table 7</a> for ROBINS-I assessment</p><p><b>Confounding.</b> Efforts were made to control for confounding through design. The groups were considered to be comparable by the author team owing to the areas being neighbouring cities. ""The comparison is based on the knowledge of their demographics, culture and social economy"". While data were not collected on SES as part of  the study,  existing data were used to provide reassurance of comparability on SES proxies including infant mortality rate and illiteracy rates. These rates were reported in the paper to allow readers to judge that the areas were comparable across these characteristics.  </p><p><b>Classification of interventions.</b> Intervention status classified correctly</p><p><b>Selection of participants into the study/analysis.</b> All eligible children in the cities were invited to the study</p><p><b>Deviations from intended interventions.</b> No deviations from intended intervention</p><p><b>Missing data.</b> No missing outcome data, however, no data regarding the confounder. The study reported on existing data only at baseline rather than collecting data with regard to the confounder directly from study participants. </p><p><b>Measurement of the outcome. </b>Outcome assessment was conducted by unblinded assessors</p><p><b>Selection of the reported result.</b> Outcome of interest reported</p>","<p>Data extracted from <a type=""STUDY"" href=""396493774316788171"">Adriasola 1959</a> differs from that presented in <a type=""REFERENCE"" href=""396493773947417054"">McDonagh 2000</a> (additional data extracted)</p><p>Paper translated from Spanish</p>"
Al-Alousi 1975,1975,PUB,24007041,<p><b>FLUOROSIS STUDY</b><br />Country of study: UK<br />Geographic location: Anglesey (F); Leeds (non-F)<br />Year of study: 1973<br />Year of change in fluoridation status: 1955<br />Study design: cross-sectional</p>,"<p>Inclusion criteria: lifetime residents of study areas; children aged 12 to 16 years</p><p>Exclusion criteria: missing, fractured or crowned teeth; refusal to participate (1 school in Leeds)</p><p>Other sources of fluoride: not stated</p><p>SES: not stated</p><p>Ethnicity: not stated</p><p>Residential history: lifetime residents</p><p>Other confounding factors: not stated</p>",<p>Group 1: 0.9 ppm (artificial fluoridation)<br/>Group 2: &lt; 0.01 ppm (natural fluoridation)</p>,<p>Dental fluorosis</p><p>Age at assessment: 12 to 16 years</p>,<p>Not stated</p>,,"<p>Data extracted from <a type=""STUDY"" href=""396493774343789059"">Al-Alousi 1975</a> differs from that presented in <a type=""REFERENCE"" href=""396493773947417054"">McDonagh 2000</a></p>"
Alarcon-Herrera 2001,2001,PUB,24007043,<p><b>FLUOROSIS STUDY</b><br/>Country of study: Mexico<br/>Geographic location: Durango<br/>Year of study: not stated<br/>Year of change in fluoridation status: NA<br/>Study design: cross-sectional</p>,<p>Inclusion criteria: children aged 6 to 12 years who had established permanent residence in the area</p><p>Exclusion criteria: not stated</p><p>Other sources of fluoride: not stated</p><p>SES: not stated</p><p>Ethnicity: not stated</p><p>Residential history: permanent residents</p><p>Other confounding factors: not stated</p>,<p>All natural fluoridation<br />Group 1: non-detectable to 1.5 ppm<br />Group 2: 1.51 to 4.99 ppm<br />Group 3: 5.0 to 8.49 ppm<br />Group 4: 8.5 to 11.9 ppm<br />Group 5: &gt; 12 ppm</p>,<p>Dental fluorosis (Dean's Index)<br />Adverse effects (bone fracture)<br />Age at assessment: 6 to 12 years</p>,"<p>Project grant from the Mexican National Council of Science and Technology Conacyt-Sivilla, Project 9502160</p>",,
Albrecht 2004,2004,PUB,24007045,<p><b>FLUOROSIS STUDY</b><br/>Country of study: Hungary<br/>Geographic location: Bár and Dunaszekcső<br/>Year of study: 2004<br/>Year of change in fluoridation status: NA<br/>Study design: cross-sectional</p>,"<p>Inclusion criteria: healthy schoolchildren, aged 6 to 18 years; lifelong residents in the communities Bár or Dunaszekcső; only permanent teeth were investigated</p><p>Exclusion criteria: any systemic disease</p><p>Other sources of fluoride: not stated</p><p>SES: not stated</p><p>Ethnicity: not stated</p><p>Residential history: lifetime residents</p><p>Other confounding factors: not stated</p>",<p>All natural fluoridation</p><p>Group 1: 1.7 ppm</p><p>Group 2: 2 ppm</p>,<p>Dental fluorosis (Dean's Index and TSIF)<br />Age at assessment: 6 to 18 years</p>,<p>Not stated</p>,,<p>Paper translated from Hungarian</p>
AlDosari 2010,2010,PUB,24007047,<p><b>FLUOROSIS STUDY</b><br/>Country of study: Saudi Arabia<br/>Geographic location: Riyadh<br/>Year of study: 2010<br/>Year of change in fluoridation status: NA<br/>Study design: cross-sectional</p>,"<p>Inclusion criteria: Saudi nationality; lifetime residence in the area</p><p>Exclusion criteria: non-Saudi nationality; absence from school on the day of dental examination</p><p>Other sources of fluoride: not stated</p><p>SES: both schools from urban and rural areas were included in the sample frame</p><p>Ethnicity: Saudi nationals, no further details</p><p>Residential history: lifetime residents</p><p>Other confounding factors: not stated</p>",<p>All natural fluoridation<br />Group 1: 0 to 0.3 ppm<br />Group 2: 0.31 to 0.6 ppm<br />Group 3: 0.61 to 1 ppm<br />Group 4: 1.01 to 1.5 ppm<br />Group 5: 1.51 to 2 ppm<br />Group 6: 2.01 to 2.5 ppm<br />Group 7: ≥ 2.51 ppm</p>,<p>Dental fluorosis (TF Index)<br />Age at assessment: 6 to 18 years</p>,"<p>Supported by a grant from King Abdulaziz City for Science and Technology, Riyadh, Saudi Arabia</p>",,
Angelillo 1999,1999,PUB,24007049,<p><b>FLUOROSIS STUDY</b><br />Country of study: Italy<br />Geographic location: areas around Naples (F); Catanzaro (non-F)<br />Year of study: 1997<br />Year of change in fluoridation status: NA<br />Study design: cross-sectional</p>,<p>Inclusion criteria: lifetime residents of study areas (children only); children aged 12 years; used community water supply as main sources of drinking water</p><p>Exclusion criteria: partially erupted teeth; orthodontic banding</p><p>Other sources of fluoride: tooth brushing habits (frequency of tooth brushing); fluoride tablets; fluoride dentifrices</p><p>SES: parents' employment status</p><p>Ethnicity: not stated</p><p>Residential history: lifetime residents</p><p>Other confounding factors: sweet consumption; climate</p>,<p>All natural fluoridation<br/>Group 1: ≥ 2.5 ppm<br/>Group 2: ≤ 0.3 ppm</p>,<p>Dental fluorosis; caries data evaluated in study but not included in review due to study design</p><p>Age at assessment: 12 years</p>,<p>Partially supported by a grant of Acquedotto Vesuviano S.p.A.</p>,,
Arif 2013,2013,PUB,24007051,<p><b>FLUOROSIS STUDY</b></p><p>Country of study: India</p><p>Geographic location: Nagaur district</p><p>Year of study: 2013</p><p>Year of change in fluoridation status: NA</p><p>Study design: cross-sectional</p>,<p>Inclusion criteria: only villages where the mean fluoride concentration was &gt; 1.0 mg/L were selected for the dental fluorosis survey. No other information provided for participants</p><p>Exclusion criteria: not stated</p><p>Other sources of fluoride: not stated</p><p>SES: not stated</p><p>Ethnicity: not stated</p><p>Residential history: not stated</p><p>Other confounding factors: not stated</p>,<p>54 villages receiving water with different natural fluoride concentrations ranging from 0.9 to 5.8 ppm</p>,<p>Dental fluorosis (Dean's Index)</p><p>Age at assessment: not stated</p>,<p>Not stated</p>,,
Arnold 1956,1951,PUB,24007053,"<p><b>CARIES STUDY</b></p><p>Country of study: USA </p><p>Geographic location: Group 1: Grand Rapids (F); Group 2: Muskegon (non-F). Total population sizes for each location not stated</p><p>Year study started: 1944</p><p>Year study ended: 1951 (after which time the control group became fluoridated; evaluated until 1954)</p><p>Year of change in fluoridation status: 1945</p><p>Study design: CBA. A different sample of children was assessed at each time point, according to age at last birthday.</p>","<p>Inclusion criteria: children aged 4 to 16 years; used city water supplies since birth</p><p>Exclusion criteria: children who lived outside study areas for more than 3 months of any 1 year</p><p>Sample size at baseline: Group 1: 19,680; Group 2: 4291 (all school children)</p><p>Sample size at final assessment: Group 1: 4590; Group 2: 2192 (sample of school children in 1951)</p><p>SES: not stated</p><p>Co-interventions: study author stated that there were no concerted efforts to commence special caries control programmes e.g. topical fluoride programmes, in either of the cities since the study began</p><p>Ethnicity: not stated</p><p>Gender: not stated</p><p>Residential history: lifetime residents</p>",<p><b>Initiation of water fluoridation</b><br />Group 1: 1 ppm (artificial fluoridation)<br />Group 2: &lt; 0.2 ppm (natural fluoridation)</p>,<p>DMFT; dmft</p><p>Age at baseline assessment: 5 to 13 years (primary dentition); 6 to 16 years (permanent dentition)</p><p>Age at final assessment: 5 to 13 years (primary dentition); 6 to 16 years (permanent dentition)</p>,<p>Not stated</p>,"<p>See <a type=""TABLE"" href=""432800047565131527"">Table 7</a> for ROBINS-I assessment.</p><p><b>Confounding.</b> Study assessed as at critical risk for confounding due to lack of details regarding SES. No further assessment</p><p><b>Classification of interventions.</b> Intervention status classified correctly</p><p><b>Selection of particpants into the study/analysis. </b>Children were selected through schools. Almost all eligible children in the areas of study were examined</p><p><b>Deviations from intended interventions.</b> No deviations from intended intervention reported</p><p><b>Missing data. </b>""samples consist of all available children in certain grades (or in sections of the grades)""</p><p>Number of children examined each year presented, however, numbers varied across each age group and each year (not a continuous study sample). </p><p>It is noted in the results that fluorosis observations had been made, but no details were given for the methods and data (just % increase). Also, SD not reported.</p><p><b>Measurement of the outcome.</b> No blinding of assessors</p><p><b>Selection of the reported result. </b>It is noted in the results that fluorosis observations had been made, but no details were given for the methods and data (just % increase). Also, SD not reported</p>","<p>Data extracted from <a type=""STUDY"" href=""396493774511037283"">Arnold 1956</a> differed from that presented in <a type=""REFERENCE"" href=""396493773947417054"">McDonagh 2000</a> (additional data extracted)</p>"
